id,pred
test_0,2
test_1,1
test_2,0
test_3,0
test_4,1
test_5,2
test_6,2
test_7,1
test_8,0
test_9,2
test_10,2
test_11,1
test_12,2
test_13,2
test_14,0
test_15,1
test_16,1
test_17,2
test_18,0
test_19,1
test_20,2
test_21,2
test_22,0
test_23,2
test_24,0
test_25,1
test_26,1
test_27,2
test_28,2
test_29,2
test_30,0
test_31,2
test_32,2
test_33,1
test_34,0
test_35,2
test_36,2
test_37,1
test_38,2
test_39,0
test_40,0
test_41,2
test_42,2
test_43,2
test_44,0
test_45,2
test_46,0
test_47,1
test_48,0
test_49,0
test_50,2
test_51,2
test_52,2
test_53,2
test_54,2
test_55,1
test_56,2
test_57,2
test_58,1
test_59,1
test_60,2
test_61,0
test_62,1
test_63,0
test_64,2
test_65,2
test_66,1
test_67,2
test_68,0
test_69,0
test_70,0
test_71,2
test_72,2
test_73,0
test_74,0
test_75,1
test_76,0
test_77,2
test_78,2
test_79,2
test_80,1
test_81,0
test_82,2
test_83,0
test_84,0
test_85,0
test_86,2
test_87,2
test_88,2
test_89,1
test_90,0
test_91,2
test_92,2
test_93,2
test_94,0
test_95,0
test_96,2
test_97,0
test_98,0
test_99,0
test_100,2
test_101,2
test_102,2
test_103,2
test_104,2
test_105,1
test_106,1
test_107,2
test_108,2
test_109,0
test_110,1
test_111,1
test_112,2
test_113,1
test_114,1
test_115,2
test_116,0
test_117,0
test_118,2
test_119,2
test_120,2
test_121,2
test_122,2
test_123,2
test_124,2
test_125,0
test_126,0
test_127,2
test_128,1
test_129,2
test_130,0
test_131,0
test_132,0
test_133,2
test_134,1
test_135,1
test_136,2
test_137,2
test_138,1
test_139,2
test_140,0
test_141,2
test_142,2
test_143,1
test_144,0
test_145,2
test_146,2
test_147,0
test_148,0
test_149,2
test_150,2
test_151,2
test_152,1
test_153,2
test_154,2
test_155,2
test_156,1
test_157,2
test_158,2
test_159,2
test_160,2
test_161,2
test_162,2
test_163,0
test_164,0
test_165,0
test_166,2
test_167,2
test_168,0
test_169,2
test_170,2
test_171,2
test_172,2
test_173,0
test_174,2
test_175,2
test_176,2
test_177,0
test_178,2
test_179,2
test_180,2
test_181,1
test_182,2
test_183,2
test_184,1
test_185,2
test_186,2
test_187,2
test_188,2
test_189,1
test_190,1
test_191,2
test_192,2
test_193,2
test_194,2
test_195,2
test_196,0
test_197,1
test_198,2
test_199,2
test_200,1
test_201,2
test_202,1
test_203,1
test_204,1
test_205,2
test_206,2
test_207,0
test_208,0
test_209,0
test_210,2
test_211,1
test_212,2
test_213,2
test_214,2
test_215,1
test_216,1
test_217,0
test_218,2
test_219,2
test_220,2
test_221,2
test_222,0
test_223,0
test_224,2
test_225,2
test_226,1
test_227,1
test_228,2
test_229,0
test_230,2
test_231,0
test_232,2
test_233,2
test_234,1
test_235,2
test_236,2
test_237,2
test_238,2
test_239,2
test_240,0
test_241,0
test_242,2
test_243,2
test_244,2
test_245,1
test_246,0
test_247,2
test_248,2
test_249,0
test_250,2
test_251,2
test_252,2
test_253,2
test_254,0
test_255,1
test_256,0
test_257,2
test_258,2
test_259,2
test_260,2
test_261,2
test_262,2
test_263,0
test_264,2
test_265,2
test_266,0
test_267,2
test_268,1
test_269,2
test_270,2
test_271,2
test_272,2
test_273,1
test_274,1
test_275,2
test_276,2
test_277,2
test_278,0
test_279,0
test_280,1
test_281,2
test_282,1
test_283,2
test_284,0
test_285,1
test_286,0
test_287,2
test_288,2
test_289,0
test_290,2
test_291,0
test_292,0
test_293,1
test_294,2
test_295,2
test_296,2
test_297,2
test_298,2
test_299,2
test_300,1
test_301,2
test_302,2
test_303,1
test_304,2
test_305,2
test_306,2
test_307,2
test_308,2
test_309,1
test_310,2
test_311,1
test_312,2
test_313,2
test_314,1
test_315,2
test_316,1
test_317,2
test_318,1
test_319,0
test_320,2
test_321,1
test_322,2
test_323,1
test_324,2
test_325,2
test_326,2
test_327,0
test_328,0
test_329,2
test_330,2
test_331,1
test_332,1
test_333,2
test_334,1
test_335,0
test_336,2
test_337,2
test_338,2
test_339,0
test_340,2
test_341,2
test_342,1
test_343,2
test_344,2
test_345,2
test_346,2
test_347,1
test_348,0
test_349,2
test_350,1
test_351,1
test_352,2
test_353,2
test_354,0
test_355,1
test_356,0
test_357,2
test_358,2
test_359,2
test_360,2
test_361,0
test_362,1
test_363,0
test_364,1
test_365,0
test_366,2
test_367,0
test_368,1
test_369,2
test_370,2
test_371,2
test_372,0
test_373,2
test_374,2
test_375,2
test_376,0
test_377,2
test_378,2
test_379,2
test_380,1
test_381,2
test_382,0
test_383,2
test_384,2
test_385,0
test_386,2
test_387,1
test_388,1
test_389,2
test_390,2
test_391,0
test_392,1
test_393,0
test_394,2
test_395,2
test_396,2
test_397,2
test_398,1
test_399,2
test_400,1
test_401,0
test_402,2
test_403,1
test_404,2
test_405,2
test_406,1
test_407,2
test_408,1
test_409,2
test_410,1
test_411,0
test_412,2
test_413,2
test_414,2
test_415,2
test_416,0
test_417,0
test_418,2
test_419,2
test_420,2
test_421,2
test_422,2
test_423,2
test_424,2
test_425,2
test_426,2
test_427,0
test_428,1
test_429,2
test_430,2
test_431,0
test_432,2
test_433,2
test_434,2
test_435,2
test_436,2
test_437,2
test_438,0
test_439,2
test_440,1
test_441,1
test_442,0
test_443,2
test_444,0
test_445,1
test_446,0
test_447,2
test_448,0
test_449,0
test_450,2
test_451,2
test_452,0
test_453,1
test_454,1
test_455,2
test_456,1
test_457,2
test_458,2
test_459,0
test_460,2
test_461,0
test_462,2
test_463,2
test_464,1
test_465,2
test_466,0
test_467,2
test_468,1
test_469,2
test_470,1
test_471,0
test_472,2
test_473,1
test_474,2
test_475,0
test_476,2
test_477,2
test_478,0
test_479,0
test_480,0
test_481,2
test_482,2
test_483,2
test_484,0
test_485,1
test_486,0
test_487,0
test_488,2
test_489,2
test_490,2
test_491,1
test_492,2
test_493,2
test_494,2
test_495,2
test_496,0
test_497,2
test_498,1
test_499,0
test_500,2
test_501,2
test_502,1
test_503,2
test_504,2
test_505,1
test_506,2
test_507,2
test_508,2
test_509,0
test_510,0
test_511,2
test_512,2
test_513,2
test_514,2
test_515,1
test_516,0
test_517,2
test_518,1
test_519,2
test_520,0
test_521,2
test_522,1
test_523,1
test_524,1
test_525,1
test_526,0
test_527,0
test_528,1
test_529,2
test_530,1
test_531,0
test_532,0
test_533,2
test_534,2
test_535,1
test_536,1
test_537,2
test_538,2
test_539,2
test_540,2
test_541,2
test_542,2
test_543,2
test_544,2
test_545,1
test_546,1
test_547,2
test_548,0
test_549,2
test_550,2
test_551,1
test_552,2
test_553,1
test_554,2
test_555,2
test_556,0
test_557,2
test_558,2
test_559,2
test_560,2
test_561,2
test_562,1
test_563,2
test_564,2
test_565,1
test_566,1
test_567,0
test_568,2
test_569,0
test_570,2
test_571,2
test_572,0
test_573,2
test_574,1
test_575,2
test_576,2
test_577,2
test_578,2
test_579,0
test_580,0
test_581,0
test_582,2
test_583,0
test_584,2
test_585,2
test_586,1
test_587,1
test_588,2
test_589,2
test_590,2
test_591,2
test_592,0
test_593,2
test_594,1
test_595,2
test_596,0
test_597,2
test_598,2
test_599,2
test_600,2
test_601,2
test_602,2
test_603,2
test_604,0
test_605,2
test_606,2
test_607,1
test_608,2
test_609,2
test_610,1
test_611,1
test_612,2
test_613,0
test_614,2
test_615,2
test_616,0
test_617,1
test_618,2
test_619,2
test_620,0
test_621,1
test_622,2
test_623,0
test_624,0
test_625,1
test_626,2
test_627,0
test_628,0
test_629,2
test_630,2
test_631,0
test_632,2
test_633,1
test_634,0
test_635,1
test_636,2
test_637,2
test_638,1
test_639,2
test_640,2
test_641,0
test_642,2
test_643,2
test_644,2
test_645,0
test_646,2
test_647,0
test_648,2
test_649,2
test_650,1
test_651,2
test_652,1
test_653,1
test_654,1
test_655,2
test_656,0
test_657,2
test_658,2
test_659,1
test_660,2
test_661,0
test_662,2
test_663,2
test_664,0
test_665,2
test_666,2
test_667,2
test_668,2
test_669,0
test_670,2
test_671,2
test_672,0
test_673,2
test_674,2
test_675,2
test_676,2
test_677,1
test_678,2
test_679,1
test_680,1
test_681,2
test_682,0
test_683,2
test_684,1
test_685,1
test_686,2
test_687,2
test_688,1
test_689,1
test_690,0
test_691,2
test_692,2
test_693,2
test_694,2
test_695,1
test_696,2
